Category Code, Category 
05-06710,Architectural Woodwork
05-06750,"Cabinets, Vanities and Tops"
05-06765,Granite Tops
05-07200,Insulation
05-07250,Stucco
05-08220,Interior Doors
05-08300,Overhead Doors
05-08400,Storefront
05-08700,Finish Hardware
05-09250,Drywall Metal Framing
05-09300,Ceramic Tile
05-09600,Wood Floors
05-09900,Painting
05-09920,Specialty Finishes
05-09950,Wallcovering
05-10300,Fireplaces
05-10700,Mirrors
05-10800,Bath Accessories
05-12500,Window Treatments
05-15300,Fire Sprinkler System
05-15400,Plumbing
05-15500,HVAC
05-16000,Electrical
05-16500,Lighting Fixtures
05-19500,Unallocated Future Costs
05-99999,Total Fitness Center
,
06-00000,Garage
06-01100,QC Inspections
06-01470,Testing
06-02100,Demolition
06-02200,Grading
06-02210,Excavation
06-02220,Haul Off Excess Fill
06-02221,Fill Contingency
06-02225,Import Fill
06-02245,Soil Stabilization
06-02270,Erosion Control
06-02290,Tree Preservation Removal
06-02395,OffSite Utilities
06-02410,Concrete Pavement
06-02435,Temp Electric
06-02442,Temp Water
06-02450,Markings or Wheel Stops
06-02540,Bollards
06-02680,Area Drainage
06-02685,French Drain System
06-02700,Safety Equipment
06-03006,Concrete Testing
06-03125,Grade Beams
06-03130,Piers
06-03150,Foundations
06-03175,Slab on Grade
06-03230,Concrete Shell
06-03300,Concrete Bumper Walls
06-03320,Concrete Walls
06-04000,CMU
06-04002,Cable Railing
06-04300,Face Rock Masonry
06-04500,Exterior Skin
06-05100,Structural Steel
06-05300,Metal Fabrication
06-05500,Metal Stairs Assemblies
06-06100,Framing Materials
06-06710,Architectural Woodwork
06-06725,Wood Stairs and Railings
06-06750,"Cabinets, Vanities and Tops"
06-06765,Granite Tops
06-07100,Waterproofing
06-07150,Concrete Coatings
06-07200,Insulation
06-07250,Stucco
06-07350,Firestopping
06-07375,Caulking
06-07425,Flat Roof System
06-07475,Metal Roofs
06-08080,Awnings
06-08210,Hollow Metal Doors
06-08220,Interior Doors
06-08240,Meter Storage Room Doors
06-08250,Specialty Doors
06-08300,Overhead Doors
06-08400,Storefront
06-08700,Finish Hardware
06-09100,Metal Studs
06-09250,Drywall Metal Framing
06-09300,Ceramic Tile
06-09680,Carpet
06-09700,Concrete Stain Flooring
06-09710,Concrete Topping
06-09900,Painting
06-10500,Fire Extinguishers
06-10700,Mirrors
06-10900,Building Signage
06-11800,Trash Chutes Compactors
06-14200,Elevators
06-15300,Fire Sprinkler System
06-15400,Plumbing
06-15450,Water Sub Meters
06-15475,Gas Sub Meters
